"","x"
"1",103.465651930607
"2",NA
"3",204.405457446426
"4",110.051728919849
"5",301.222972408199
"6",107.946256466914
"7",657.588929579274
"8",184.92824253556
"9",497.993160309791
"10",709.973342467367
"11",171.334414636251
"12",127.326486286847
"13",376.122900615639
"14",409.567798240584
"15",520.917129742811
"16",339.276804594441
"17",309.065663486356
"18",144.877836579721
"19",261.290283713659
"20",350.784435511171
"21",504.559070646692
"22",688.125634922937
"23",242.733895560465
"24",243.20902718252
"25",368.155188166557
"26",202.66670008313
"27",210.712286936351
"28",794.145341090005
"29",732.284207592118
"30",589.684726074957
"31",495.984665847868
"32",667.679783204777
"33",723.267777740476
"34",107.069845402876
"35",183.73037564626
"36",114.759732275335
"37",400.814448566583
"38",716.382968725576
"39",375.828804995627
"40",99.9447590905627
"41",274.439411225149
"42",677.67096395015
"43",849.449388684871
"44",960.349869428426
"45",421.347870019224
"46",565.336418560372
"47",272.092678511253
"48",453.096940442628
"49",153.045406451526
"50",256.440564159165
"51",403.311467063123
